StandID,Year,Species,Ags Ugs,DBH,TPA,Total Plots
B1,2021,316,AGS,25.1,92.79119975,21
B1,2021,316,AGS,35.4,46.64957687,21
B1,2021,261,AGS,32.5,55.34616213,21
B1,2021,261,AGS,28.9,69.99363484,21
B1,2021,261,AGS,31.4,59.2918412,21
B1,2021,261,AGS,30.9,61.22619553,21
B1,2021,261,AGS,53.3,20.57784136,21
B1,2021,541,AGS,32.7,54.67121525,21
B1,2021,316,AGS,51.5,22.04143039,21
B1,2021,261,AGS,34.1,50.27423548,21
B1,2021,531,UGS,27.7,76.1894248,21
B1,2021,261,AGS,40.8,35.11833415,21
B1,2021,316,AGS,44.5,29.52121386,21
B1,2021,261,AGS,68.4,12.49516598,21
B1,2021,531,UGS,25.8,87.82432509,21
B1,2021,531,UGS,30.1,64.52399394,21
B1,2021,316,AGS,45.8,27.86912137,21
B1,2021,316,AGS,38.3,39.85260228,21
B1,2021,541,AGS,16,228.3569678,21
B1,2021,261,AGS,50.9,22.5641339,21
B1,2021,531,UGS,25.8,87.82432509,21
B1,2021,531,UGS,49.3,24.05250947,21
B1,2021,531,UGS,24.1,100.651476,21
B1,2021,316,AGS,32.5,55.34616213,21
B1,2021,316,AGS,46.1,27.50757984,21
B1,2021,261,AGS,34.9,47.99581592,21
B1,2021,261,AGS,43.8,30.47235449,21
B1,2021,531,UGS,27.5,77.30166447,21
B1,2021,261,AGS,38.6,39.23553904,21
B1,2021,261,AGS,42.3,32.67183282,21
B1,2021,541,AGS,26.7,82.00337184,21
B1,2021,701,AGS,8.8,754.8990671,21
B1,2021,316,AGS,35,47.72194592,21
B1,2021,541,AGS,60.2,16.13099849,21
B1,2021,316,AGS,61.6,15.40610341,21
B1,2021,261,AGS,34.2,49.98066393,21
B1,2021,371,AGS,31.9,57.44772924,21
B1,2021,316,AGS,29.4,67.63314331,21
B1,2021,261,AGS,31,60.83182493,21
B1,2021,316,AGS,17.9,182.4518079,21
B1,2021,261,AGS,40.1,36.35511207,21
B1,2021,261,AGS,10.6,520.2864343,21
B1,2021,316,UGS,50.4,23.01405571,21
B1,2021,316,UGS,28,74.5655405,21
B1,2021,541,AGS,67.5,12.83059177,21
B1,2021,541,AGS,42.9,31.76432629,21
B1,2021,261,UGS,10.6,520.2864343,21
B1,2021,371,UGS,20.6,137.7589399,21
B1,2021,261,AGS,39.1,38.2384886,21
B1,2021,261,AGS,37.6,41.35028842,21
B1,2021,261,AGS,26.7,82.00337184,21
B1,2021,261,AGS,26.4,83.87767412,21
B1,2021,375,AGS,26.9,80.78852386,21
B1,2021,261,AGS,35.9,45.35919472,21
B1,2021,316,UGS,28.5,71.97215605,21
B1,2021,316,AGS,39.5,37.46795946,21
B1,2021,261,AGS,29.7,66.27371782,21
B1,2021,316,AGS,61.9,15.2571331,21
B1,2021,371,AGS,33.5,52.09123079,21
B1,2021,531,UGS,12.8,356.8077622,21
B1,2021,261,AGS,46.8,26.69085751,21
B1,2021,318,UGS,19.6,152.1745725,21
B1,2021,261,AGS,28.5,71.97215605,21
B1,2021,261,AGS,48.7,24.64883006,21
B1,2021,261,AGS,20.1,144.6978633,21
B1,2021,261,AGS,45.2,28.61392031,21
B1,2021,261,AGS,37.9,40.69825729,21
B1,2021,261,AGS,50.6,22.83248596,21
B1,2021,261,AGS,30.1,64.52399394,21
B1,2021,541,AGS,45,28.86883148,21
B1,2021,261,AGS,25.2,92.05622284,21
B1,2021,541,UGS,18.5,170.8090102,21
B1,2021,316,UGS,53.2,20.65527438,21
B1,2021,541,AGS,24.9,94.28780786,21
B1,2021,261,AGS,59.1,16.73706378,21
B1,2021,371,UGS,27.9,75.10101843,21
B1,2021,261,AGS,27.5,77.30166447,21
B1,2021,316,AGS,28.8,70.48054561,21
B1,2021,261,AGS,41.9,33.29861629,21
B1,2021,261,AGS,67.4,12.86869299,21
B1,2021,261,AGS,30.9,61.22619553,21
B1,2021,316,AGS,28.6,71.46973416,21
B9,2021,261,AGS,28.6,71.46973416,15
B9,2021,261,AGS,69.6,12.06801257,15
B9,2021,261,AGS,42.4,32.51790214,15
B9,2021,316,AGS,30.6,62.43259404,15
B9,2021,97,AGS,59.5,16.51278406,15
B9,2021,261,AGS,32.8,54.33836235,15
B9,2021,261,AGS,67.4,12.86869299,15
B9,2021,261,AGS,32.9,54.00853997,15
B9,2021,261,AGS,56.7,18.18394525,15
B9,2021,261,AGS,61.6,15.40610341,15
B9,2021,261,AGS,46,27.62730801,15
B9,2021,97,AGS,37.7,41.13121443,15
B9,2021,261,AGS,33.3,52.71883032,15
B9,2021,261,AGS,39.8,36.90524466,15
B9,2021,316,AGS,49.9,23.47756987,15
B9,2021,261,AGS,17.3,195.3268861,15
